2019:04:24 10:00:09.430 INFO  --- [restartedMain] com.oksusu.hdh.OksusuApplication : Starting OksusuApplication on handonghuiui-MacBookPro.local with PID 1442 (/Users/jinaworks/Downloads/EsSearchDataList/bin/main started by jinaworks in /Users/jinaworks/Downloads/EsSearchDataList) 
2019:04:24 10:00:09.435 INFO  --- [restartedMain] com.oksusu.hdh.OksusuApplication : No active profile set, falling back to default profiles: default 
2019:04:24 10:00:09.587 INFO  --- [restartedMain] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@e9d0766: startup date [Wed Apr 24 10:00:09 KST 2019]; root of context hierarchy 
2019:04:24 10:00:11.593 INFO  --- [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http) 
2019:04:24 10:00:11.621 INFO  --- [restartedMain] o.a.catalina.core.StandardService : Starting service [Tomcat] 
2019:04:24 10:00:11.622 INFO  --- [restartedMain] o.a.catalina.core.StandardEngine : Starting Servlet Engine: Apache Tomcat/8.5.34 
2019:04:24 10:00:11.626 INFO  --- [localhost-startStop-1] o.a.c.core.AprLifecycleListener : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/jinaworks/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.] 
2019:04:24 10:00:11.938 INFO  --- [localhost-startStop-1] o.apache.jasper.servlet.TldScanner : At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time. 
2019:04:24 10:00:11.944 INFO  --- [localhost-startStop-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2019:04:24 10:00:11.945 INFO  --- [localhost-startStop-1] o.s.web.context.ContextLoader : Root WebApplicationContext: initialization completed in 2359 ms 
2019:04:24 10:00:12.027 INFO  --- [localhost-startStop-1] o.s.b.w.s.ServletRegistrationBean : Servlet dispatcherServlet mapped to [/] 
2019:04:24 10:00:12.033 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'characterEncodingFilter' to: [/*] 
2019:04:24 10:00:12.034 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
2019:04:24 10:00:12.034 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'httpPutFormContentFilter' to: [/*] 
2019:04:24 10:00:12.034 INFO  --- [localhost-startStop-1] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'requestContextFilter' to: [/*] 
2019:04:24 10:00:13.970 INFO  --- [restartedMain] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2019:04:24 10:00:14.198 INFO  --- [restartedMain] o.s.w.s.m.m.a.RequestMappingHandlerAdapter : Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@e9d0766: startup date [Wed Apr 24 10:00:09 KST 2019]; root of context hierarchy 
2019:04:24 10:00:14.269 INFO  --- [restartedMain] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/getProperty],methods=[POST]}" onto public java.lang.String com.oksusu.hdh.boot.controller.SlackController.getProperty(java.util.Map<java.lang.String, java.lang.String>) 
2019:04:24 10:00:14.274 INFO  --- [restartedMain] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.oksusu.hdh.controller.EsSearchController.MainPage() 
2019:04:24 10:00:14.276 INFO  --- [restartedMain] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/checkServer],methods=[GET]}" onto public java.util.List<java.lang.String> com.oksusu.hdh.controller.EsSearchController.checkServerList(com.oksusu.hdh.domain.EsSearchVO,java.util.Map<java.lang.String, java.lang.Object>) throws java.lang.Exception 
2019:04:24 10:00:14.276 INFO  --- [restartedMain] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/typeList],methods=[POST]}" onto public java.util.List<java.lang.String> com.oksusu.hdh.controller.EsSearchController.startTypeList(com.oksusu.hdh.domain.EsSearchVO,java.util.Map<java.lang.String, java.lang.Object>) throws java.lang.Exception 
2019:04:24 10:00:14.277 INFO  --- [restartedMain] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/startSearch],methods=[POST]}" onto public java.util.Map<java.lang.String, java.util.List<java.lang.Object>> com.oksusu.hdh.controller.EsSearchController.startSearch(java.util.Map<java.lang.String, java.lang.Object>) throws java.lang.Exception 
